Parking_Name,Parking_Code,Latitude,Longitude,LMV_Capacity,LCV_Capacity,HMV_Capacity,Total_Capacity,Area_Lot
M/S Indiabull,C-1,19.0075388,72.8327546,2370.0,0.0,0.0,2370.0,108396.93
M/S Shri Ram Mill (Palais Royalae),C-33,18.9991927,72.8213296,900.0,0.0,0.0,900.0,
M/S Marathon,C-17,18.9940387,72.8308884,493.0,0.0,0.0,493.0,24616.74
M/S Omkar,C-72,19.0080746,72.8232844,701.0,0.0,0.0,701.0,34762.4
M/S D B Realty,C15,19.0105802,72.8307687,2500.0,0.0,0.0,2500.0,89496.48
M/S Indiabull,C-7,19.0098719,72.8349573,890.0,0.0,427.0,1317.0,90437.56
M/S Kohonoor Mills,C-18,19.0242726,72.8425886,977.0,0.0,31.0,1008.0,52136.02
M/S United Shelters Pvt. Ltd. (Tadeshwarwadi),C-45,19.0370115,72.8468394,218.0,0.0,0.0,218.0,10900.0
M/S Kalpavruksha,C-2,19.0190489,72.8302085,172.0,0.0,0.0,172.0,8600.0
M/S Kalpataru,C-11,18.9982123,72.8422525,512.0,553.0,0.0,1065.0,
M/S Dosti,C-10,18.997395,72.8493366,166.0,31.0,0.0,197.0,10315.0
M/S Penninsula Realtors,C-63,18.9928869,72.8479491,166.0,75.0,36.0,277.0,17495.0
M/S Esque Finement Pvt. Ltd. (Lodha),C-25,18.9914059,72.840489,586.0,0.0,114.0,700.0,65663.08
M/S Byramji Jeejiboy,C-27,18.9895509,72.8385937,998.0,206.0,38.0,1242.0,26378.5
M/S Maitri asso. (Dosti),C-51,19.0433807,72.8674313,247.0,0.0,0.0,247.0,10678.72
M/S Maitri Associates (Dosti),C-73,19.0226391,72.867391,445.0,48.0,165.0,658.0,45170.0
M/S Shiv Sneha Associates,C-43,19.0204018,72.8501629,103.0,0.0,0.0,103.0,5150.0
M/S Satra Developers,C-76,19.0282504,72.8522069,221.0,10.0,0.0,231.0,11700.0
M/S PSK Developers Pvt. Ltd.,C-12,19.0139942,72.835848,212.0,0.0,0.0,212.0,10568.62
M/S Hilton Infrastructure,C-44,18.9983713,72.8189418,220.0,112.0,0.0,332.0,
M/S Meeti Developers Pvt. Ltd.,W-53,19.0651161,72.831956,142.0,0.0,0.0,142.0,7072.38
M/S Reliable Enterprises,C-23,18.976766,72.8279502,108.0,72.0,0.0,180.0,
M/S nirmal Lifestyle,E-7,19.1768968,72.9594266,749.0,0.0,136.0,885.0,53770.0
M/S Vinita Estate,W-14,19.2396647,72.8479501,168.0,26.0,0.0,194.0,
Marathon (Chhaganlal Khimji),E-3,19.1706938,72.9435973,440.0,,,,22000.0
M/S Dura Tech,E-2,19.16951,72.9525028,192.0,,,192.0,9600.0
M/S Nirmal Lifestyle,E-8,19.166235,72.936941,1218.0,0.0,465.0,1683.0,116700.0
M/S Swayam Realtors & Traders PPL,C-54,18.9725172,72.831792,1280.0,0.0,0.0,1280.0,64000.0
Marathon (Chhaganlal Khimji),E-3,19.1706938,72.9435973,440.0,,,,22000.0
M/S Dura Tech,E-2,19.16951,72.9525028,192.0,,,192.0,9600.0
M/S Nirmal Lifestyle,E-8,19.166235,72.936941,1218.0,0.0,465.0,1683.0,116700.0
Unknown,,19.131942,72.871068,,,,,
Unknown,,19.13889,72.830237,,,,,
Unknown,,19.140929,72.813669,,,,,
